misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss,pred_accuracy
2060,741960,396,-0.62290677,0.6970458626747131,-0.0032159900292754173,0.08634756375104188,0.0
2080,749160,396,-0.5585113399999999,0.85250004529953,-0.0025623694062232973,0.09827319681644439,0.0
2100,756360,396,-0.80617201,0.6598835587501526,-0.0011831440031528472,0.17863447777926922,0.0
2120,763560,396,-0.33538031,0.903132575750351,0.00043831318616867067,0.1277167175896466,0.0
2140,770760,396,-0.46964495999999994,0.6390405803918838,-0.006117227743379772,0.1888809695839882,0.0
2160,777960,396,-0.17769204000000002,0.6337034642696381,-0.003930386900901794,0.0916883535683155,0.0
2180,785160,396,-0.15740978999999997,0.5215413212776184,-0.0038051582872867585,0.057109717512503266,0.0
2200,792360,396,-0.9261894599999998,0.8636997461318969,-0.00454314835369587,0.06974596029613167,0.0
2220,799560,396,-0.7123974,0.7831589221954346,-0.0046018451452255246,0.09936472456902265,0.0
2240,806760,397,-0.007757380000000005,0.8867185533046722,-0.00047059208154678347,0.21552365720272065,0.0
2260,813960,397,-0.41320302000000003,0.8940896928310395,-0.002475581644102931,0.09808441735804081,0.0
2280,821160,397,-0.86500765,0.9231150627136231,-0.0071147803217172624,0.035039503732696174,0.0
2300,828360,397,-0.8443645099999999,0.8203718364238739,-0.006564143113791943,0.04790172502398491,0.0
2320,835560,397,-1.19121894,0.6330987930297851,-0.009193843230605125,0.0033108989708125593,0.0
2340,842760,397,-1.6680928800000001,0.46810993552207947,-0.002649807929992676,0.01907301750034094,0.0
2360,849960,397,-1.92156021,0.4830144166946411,-0.013411193713545799,0.06022320948541164,0.0
2380,857160,397,-2.2383046099999997,0.7786913633346557,-0.008376983553171157,0.04713524384424091,0.0
2400,864360,397,-1.7357615000000002,0.3741127699613571,-0.004697612999007106,0.03871388090774417,0.0
2420,871560,397,-1.9248498300000003,0.42982026636600495,-0.004491615295410156,0.04644321892410517,0.0
2440,878760,397,-2.22773653,0.5998061060905456,-0.00615260936319828,0.006592764967354015,0.0
2460,885960,397,-2.57032015,0.37695089280605315,-0.01112741082906723,0.012520990951452404,0.0
2480,893160,397,-3.24346418,0.5803722262382507,-0.005625814199447632,0.001095222105504945,0.0
2500,900360,397,-4.099926450000001,0.23372475504875184,-0.0028587386012077333,0.0005470280448207632,0.0
2520,907560,397,-4.45192921,0.6902916669845581,-0.007165078818798065,0.08003341285511852,0.0
2540,914760,398,-4.34840073,0.4970334768295288,-0.004198023997014388,0.028769008885137736,0.0
2560,921960,398,-2.3818574100000003,0.4147735059261322,-0.0006658127531409264,0.09575782865285873,0.0
2580,929160,398,-1.00618174,0.5415295749902725,-0.008273053402081131,0.03079468561336398,0.0
2600,936360,398,-0.9149441200000001,0.7115436136722565,-0.005380724370479584,0.023535358626395463,0.0
2620,943560,398,-1.3022461699999999,0.693700110912323,-0.0023019999265670777,0.11307737641036511,0.0
2640,950760,398,-1.4678925199999997,0.7154005885124206,-0.0075285790488123895,0.01856817160733044,0.0
2660,957960,398,-0.6581643600000001,0.6788031876087188,-0.010847638826817274,0.14990261998027563,0.0
2680,965160,398,0.021952829999999923,0.5657288283109665,-0.0014502368867397308,0.339169979467988,0.0
